Area Code,Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
2,Afghanistan,7020,Meteorological year,7271,Temperature change,°C,-0.08,-0.12,0.882,-0.727,-0.2,0.176,-0.361,-0.373,-0.491,0.858,0.617,-1.131,0.22,-0.487,-0.468,-0.292,0.529,0.137,0.334,0.583,0.469,-0.35,0.134,0.123,0.237,-0.105,0.349,0.872,-0.167,0.766,-0.178,-0.32,0.172,0.423,0.363,-0.106,0.48,0.669,1.178,0.996,1.315,1.317,0.598,1.317,0.386,1.647,0.616,0.671,0.841,1.564,1.342,0.102,1.237,0.474,1.096,1.473,1.483,1.524,0.893
3,Albania,7020,Meteorological year,7271,Temperature change,°C,0.631,0.339,0.084,-0.171,-0.392,0.551,-0.084,0.071,-0.024,-0.129,-0.219,-0.09,-0.299,-0.139,-0.207,-0.685,0.552,-0.788,0.244,-0.376,-0.302,0.247,-0.048,-0.199,-0.03,0.641,-0.037,0.442,0.008,0.846,-0.238,0.122,0.137,1.399,-0.099,0.046,0.146,0.865,0.743,1.139,1.607,0.559,1.079,0.506,0.282,0.492,1.475,1.129,1.002,1.294,1.123,1.603,1.495,1.399,1.725,1.697,1.337,2.232,1.911
4,Algeria,7020,Meteorological year,7271,Temperature change,°C,0.186,0.101,0.045,0.212,-0.135,0.404,-0.024,-0.079,0.262,0.075,-0.409,-0.357,-0.01,-0.49,-0.571,-0.831,0.546,0.045,0.687,0.278,0.247,0.427,0.648,0.073,0.57,0.407,1.048,1.388,0.43,1.314,0.078,-0.253,0.618,0.796,0.649,0.906,1.122,1.189,1.579,0.91,1.946,1.329,1.668,1.07,1.346,1.482,1.31,1.282,1.044,2.359,1.492,1.238,1.267,1.774,1.224,1.866,1.63,1.326,1.224
5,American Samoa,7020,Meteorological year,7271,Temperature change,°C,-0.014,-0.08,0.072,-0.226,-0.473,0.177,-0.402,-0.181,0.107,-0.049,-0.428,0.062,0.328,-0.177,0.017,-0.129,0.163,0.03,0.328,0.305,0.18,0.281,0.336,0.252,0.296,0.348,0.338,0.525,0.179,0.52,0.848,0.941,,,0.871,0.834,,,0.274,0.541,0.708,1.027,0.551,0.356,0.83,0.749,1.589,0.695,,1.271,0.79,0.901,1.159,1.086,0.885,1.648,1.268,1.101,1.502
6,Andorra,7020,Meteorological year,7271,Temperature change,°C,0.749,0.11,-0.755,0.305,-0.5,0.403,0.616,0.001,-0.156,0.107,-0.331,-0.5,0.016,-0.393,0.233,-0.059,-0.111,-0.173,0.047,-0.198,0.167,1.037,0.841,-0.18,0.035,0.368,0.382,0.875,1.16,1.734,0.219,0.343,0.185,1.518,1.252,0.541,1.748,1.008,1.067,1.055,1.505,0.845,1.987,0.942,0.864,1.494,1.005,0.912,1.381,0.441,1.643,1.233,0.794,1.899,1.619,1.917,1.853,1.826,1.871
7,Angola,7020,Meteorological year,7271,Temperature change,°C,0.053,-0.139,-0.176,-0.215,-0.181,0.193,-0.069,-0.183,0.19,0.223,-0.129,-0.064,0.448,-0.196,-0.048,-0.333,0.24,0.002,0.26,0.247,-0.063,0.152,0.47,0.673,0.69,0.167,0.707,0.557,-0.002,0.737,0.325,0.435,0.261,0.271,0.807,0.436,0.291,1.199,0.443,0.204,0.27,0.701,0.891,0.308,1.029,0.369,0.659,0.336,0.554,1.058,0.708,0.401,0.91,0.726,1.26,1.534,0.808,1.264,1.694
258,Anguilla,7020,Meteorological year,7271,Temperature change,°C,0.072,0.059,0.283,0.227,-0.331,0.036,-0.281,-0.24,0.276,-0.008,-0.309,-0.234,0.045,-0.456,-0.45,-0.543,0.016,0.025,-0.083,0.582,0.419,-0.017,0.375,-0.092,-0.206,-0.097,0.452,0.317,-0.167,0.244,0.28,0.011,0.294,0.352,0.484,0.233,0.358,0.963,0.412,0.098,0.423,0.639,0.664,0.333,0.629,0.494,0.728,0.204,0.424,0.916,0.345,0.52,0.631,0.659,0.916,0.954,0.788,0.607,0.843
30,Antarctica,7020,Meteorological year,7271,Temperature change,°C,0.28,-0.227,0.135,-0.366,-0.099,-0.24,0.133,-0.088,-0.256,-0.133,0.28,0.621,0.011,0.169,0.177,-0.634,0.25,-0.118,-0.234,0.565,0.706,-0.031,-0.693,0.132,0.18,-0.269,-0.698,0.956,-0.436,0.289,0.678,0.334,-0.734,-0.234,-0.285,0.778,-0.556,-0.484,-0.594,-0.778,-0.062,1.259,-0.474,0.129,0.875,-0.081,0.68,0.605,1.314,0.813,0.725,-0.216,1.738,0.546,-0.095,0.217,0.764,1.454,0.615
8,Antigua and Barbuda,7020,Meteorological year,7271,Temperature change,°C,0.057,0.07,0.308,0.214,-0.373,0.084,-0.259,-0.245,0.239,-0.003,-0.292,-0.261,0.095,-0.448,-0.496,-0.549,0.058,0.044,0.013,0.558,0.472,0.083,0.381,-0.179,-0.204,-0.122,0.54,0.276,-0.2,0.219,0.294,,0.314,0.308,0.538,0.281,0.404,0.987,0.451,0.183,,0.514,,0.368,0.688,0.503,0.7,0.185,0.366,0.96,0.457,0.569,0.678,0.629,0.925,0.977,0.824,0.61,0.827
9,Argentina,7020,Meteorological year,7271,Temperature change,°C,0.129,-0.058,0.146,-0.368,0.063,-0.19,-0.023,0.456,0.283,0.439,-0.264,-0.009,-0.157,-0.123,-0.056,-0.361,0.395,0.333,0.236,0.342,0.356,0.34,0.01,-0.134,0.267,0.43,0.415,-0.221,0.584,0.42,0.233,-0.3,0.049,0.451,0.225,0.462,0.71,0.291,0.115,-0.219,0.395,0.269,0.626,0.415,0.199,0.529,-0.232,0.529,0.784,0.078,0.324,0.748,0.394,0.912,0.91,0.459,1.057,0.828,0.709
