iso,Country/Region,unit,2020
CHN,China,tCO2e per capita,8.71
USA,United States,tCO2e per capita,15.96
IND,India,tCO2e per capita,2.29
RUS,Russia,tCO2e per capita,12.49
IDN,Indonesia,tCO2e per capita,5.4
BRA,Brazil,tCO2e per capita,6.91
JPN,Japan,tCO2e per capita,8.42
IRN,Iran,tCO2e per capita,10.06
CAN,Canada,tCO2e per capita,19.23
SAU,Saudi Arabia,tCO2e per capita,20.47
COD,Democratic Republic of the Congo,tCO2e per capita,7.68
DEU,Germany,tCO2e per capita,8.19
KOR,South Korea,tCO2e per capita,11.84
MEX,Mexico,tCO2e per capita,4.72
AUS,Australia,tCO2e per capita,22.78
ZAF,South Africa,tCO2e per capita,8.57
TUR,Türkiye,tCO2e per capita,5.65
VNM,Vietnam,tCO2e per capita,4.71
THA,Thailand,tCO2e per capita,6.47
PAK,Pakistan,tCO2e per capita,2.01
GBR,United Kingdom,tCO2e per capita,6.13
ARG,Argentina,tCO2e per capita,8.7
NGA,Nigeria,tCO2e per capita,1.79
MYS,Malaysia,tCO2e per capita,11.36
ITA,Italy,tCO2e per capita,5.71
POL,Poland,tCO2e per capita,8.47
FRA,France,tCO2e per capita,4.67
EGY,Egypt,tCO2e per capita,2.93
KAZ,Kazakhstan,tCO2e per capita,15.56
COL,Colombia,tCO2e per capita,5.31
DZA,Algeria,tCO2e per capita,6.09
IRQ,Iraq,tCO2e per capita,6.51
ESP,Spain,tCO2e per capita,5.41
ARE,United Arab Emirates,tCO2e per capita,25.27
MMR,Myanmar,tCO2e per capita,4.53
VEN,Venezuela,tCO2e per capita,8.36
PHL,Philippines,tCO2e per capita,2.08
UKR,Ukraine,tCO2e per capita,5.09
BGD,Bangladesh,tCO2e per capita,1.36
ETH,Ethiopia,tCO2e per capita,1.73
TKM,Turkmenistan,tCO2e per capita,32.18
UZB,Uzbekistan,tCO2e per capita,5.38
PER,Peru,tCO2e per capita,5.45
NLD,Netherlands,tCO2e per capita,9.32
