Date,Location,Country,Sea Level Rise
00:00.0,New Williamtown,Latvia,0.7175060280487084
09:43.3,North Rachel,South Africa,1.205714577973989
19:26.5,West Williamland,French Guiana,-0.16078297
29:09.8,South David,Vietnam,-0.475931471
38:53.0,New Scottburgh,Moldova,1.1357566280433067
48:36.3,South Nathan,Saint Helena,1.1222096515478814
58:19.5,Port Richardfurt,Tuvalu,0.058471241
08:02.8,Adambury,Australia,0.001415079
17:46.1,Williamsonberg,Qatar,0.5848806209007508
27:29.3,North Thomas,Chad,-1.712224247
37:12.6,West Jillton,Fiji,-0.935059452
46:55.8,Robertville,Guernsey,0.021368052
56:39.1,Camposfort,Egypt,-1.028802304
06:22.4,Hughesville,Rwanda,-2.061535883
16:05.6,Adammouth,Samoa,1.281869804834719
25:48.9,East Ricardomouth,Mongolia,-0.084660481
35:32.1,Port Robertborough,Equatorial Guinea,-1.086789668
45:15.4,South Natalieshire,Libyan Arab Jamahiriya,-0.030618348
54:58.6,Zacharyborough,Libyan Arab Jamahiriya,-0.135039901
04:41.9,Bakerburgh,Mali,1.2183139750539658
14:25.2,Devinchester,Cocos (Keeling) Islands,0.5417702302824254
24:08.4,Thompsonburgh,Bahrain,0.6559375173958361
33:51.7,East Darlene,French Southern Territories,0.23696294379727018
43:34.9,North Ericchester,Iceland,0.7980831533489516
53:18.2,West Annaview,Bahrain,0.3960083827587374
03:01.5,Bartonhaven,Tajikistan,-2.232079073
12:44.7,Lake David,Norfolk Island,1.4567393009471905
22:28.0,Angelicaview,Libyan Arab Jamahiriya,0.6109107612381881
32:11.2,Alexischester,Bosnia and Herzegovina,-1.535181444
41:54.5,Williambury,Reunion,-0.733600499
51:37.7,Amandaville,Ethiopia,-0.2691909
01:21.0,Lake Glennmouth,Spain,0.7168908436055069
11:04.3,Wagnerbury,Italy,-1.251962984
20:47.5,Christopherside,Andorra,-0.304871988
30:30.8,Hoffmanborough,Gibraltar,-0.234510057
40:14.0,Gordonfort,Monaco,-0.163166784
49:57.3,New Bobhaven,Comoros,-0.024024425
59:40.6,West Jeffrey,British Indian Ocean Territory (Chagos Archipelago),0.030541451313553764
09:23.8,Duncanmouth,Czech Republic,0.43735692462146325
19:07.1,Fieldsside,Iran,-0.038236117
28:50.3,Emmafort,Antigua and Barbuda,-0.445038606
38:33.6,East Davidshire,Seychelles,1.1792144981950052
48:16.8,Port Austinchester,Slovenia,0.12392996790994189
58:00.1,North Bryan,Gabon,1.986904928068636
07:43.4,Stewartbury,India,-0.078811063
17:26.6,North Ryan,Chad,0.135980596
27:09.9,West Micheleland,Congo,0.8367186163118052
36:53.1,Lisaview,Tunisia,0.525015923
46:36.4,Reynoldsberg,Reunion,-0.679688056
56:19.7,Wandamouth,Norfolk Island,-0.016169817
06:02.9,Port Leah,Costa Rica,1.244657569595779
15:46.2,Anthonyside,Cuba,1.4503446236742792
25:29.4,North Brian,Grenada,-0.605965014
35:12.7,Butlerburgh,Suriname,1.4454737018424118
44:55.9,South Jennifer,Brunei Darussalam,1.191409147434969
54:39.2,Cameronview,Bahrain,-0.166706769
04:22.5,Garciatown,United States of America,-0.484336288
14:05.7,Adrianshire,Israel,-1.420200566
23:49.0,New Dianechester,Georgia,-1.003382415
33:32.2,Russellfort,Cape Verde,-1.109026868
43:15.5,Johnnyburgh,Ukraine,0.11429465318870691
52:58.8,Charlesview,Colombia,-0.967104593
02:42.0,East Shawnchester,Guyana,-0.768958454
12:25.3,Tylertown,Estonia,-0.381200272
22:08.5,Lake Michael,Cambodia,-0.740848072
31:51.8,Bensonview,Maldives,1.1758858437028583
41:35.0,Port Robert,Greece,-0.90153373
51:18.3,Nathanstad,Kenya,1.54763206
01:01.6,South Wayne,Marshall Islands,-1.253786874
10:44.8,West Roberthaven,Korea,-1.198444108
20:28.1,West Susanmouth,Dominica,0.4281282464634206
30:11.3,East Melissaville,China,-0.858611496
39:54.6,West Jamiechester,Trinidad and Tobago,-0.430334649
49:37.9,Courtneyberg,Northern Mariana Islands,-0.388868922
59:21.1,Lake Justin,Svalbard & Jan Mayen Islands,0.595848792
09:04.4,New Sandrafurt,Czech Republic,0.3390488689414049
18:47.6,New Christianbury,Costa Rica,-0.734010094
28:30.9,Whiteview,Vietnam,0.7636158359759274
38:14.1,South Sylvia,Denmark,0.6033014749826829
47:57.4,Adamberg,Svalbard & Jan Mayen Islands,-0.63004567
57:40.7,Martinfort,Pitcairn Islands,0.9985524884371056
07:23.9,New Jamestown,Mongolia,1.2209368551140163
17:07.2,New Katrina,Uganda,0.7452955637942891
26:50.4,Grossstad,Iraq,-0.351019011
36:33.7,Gordonport,Ecuador,-1.959734106
46:17.0,Holmesport,Turks and Caicos Islands,-1.688830131
56:00.2,South Larryland,Barbados,-0.221748556
05:43.5,South Thomas,Peru,-0.184459751
15:26.7,Lake Shawna,United Arab Emirates,1.1844599106532152
25:10.0,Josephport,Antarctica (the territory South of 60 deg S),1.6819630916679225
34:53.2,East Brandonchester,Algeria,-1.718326176
44:36.5,Harperchester,Moldova,1.6426158338798622
54:19.8,East Angela,Vietnam,-0.583655189
04:03.0,Richardchester,Lesotho,-2.160843996
13:46.3,Millsstad,Fiji,0.23735880390440403
23:29.5,Erikborough,Liechtenstein,-0.646661985
33:12.8,Port Donald,Afghanistan,1.4901735358259804
42:56.1,Lake Robertview,Bolivia,1.162554889
52:39.3,West Michaelbury,Singapore,-0.315811559
02:22.6,Port Carriefurt,United States Minor Outlying Islands,0.28442604284250184
12:05.8,Thomasberg,Netherlands,0.42197489965071255
21:49.1,West Anthony,French Polynesia,0.7716298876571568
31:32.3,West Karenmouth,Bulgaria,-0.272807537
41:15.6,Keithmouth,Central African Republic,0.7964219507313325
50:58.9,South Brittanyview,Finland,0.6978381516547183
00:42.1,North Victoriamouth,Bhutan,-1.333572498
10:25.4,East Jessicaport,Jordan,0.7726938623912368
20:08.6,Charlesland,Bolivia,0.5850310258020329
29:51.9,East Erin,Montenegro,-0.882333896
39:35.2,South Amy,Uganda,-0.994600758
49:18.4,Hernandezview,Saint Lucia,-0.184418627
59:01.7,Lorihaven,Marshall Islands,1.9893910710789036
08:44.9,Lesterfort,Holy See (Vatican City State),0.067730707
18:28.2,Wellsville,French Guiana,-1.766577628
28:11.4,Garciafurt,Trinidad and Tobago,1.6615629686480375
37:54.7,Gregoryville,Greece,0.44865623760233825
47:38.0,South Diana,Belize,-0.316439487
57:21.2,North Adamland,Kuwait,-0.522045371
07:04.5,Port Brent,Philippines,-1.212521751
16:47.7,New Tonyfort,New Zealand,0.24332218482242168
26:31.0,Lake Amberhaven,Sweden,1.0608672794634622
36:14.3,West Lisaville,Botswana,1.2355890816386785
45:57.5,Mendezton,Botswana,1.6529104670852897
55:40.8,Turnerville,Malawi,-0.556824401
05:24.0,Hutchinsonburgh,Israel,0.030012163729557884
15:07.3,North Elizabeth,Cameroon,-0.257624005
24:50.5,Lawsonmouth,Israel,-0.330178254
34:33.8,New Sandra,Romania,0.5777869049255648
44:17.1,Jasonmouth,Costa Rica,0.9206952945996842
54:00.3,Scottland,Tajikistan,-0.329095352
03:43.6,North Kristopherland,Bermuda,0.9489183130685179
13:26.8,Rachelburgh,Latvia,0.7483226801651881
23:10.1,Donnaland,Guam,0.8987309669678192
32:53.4,New Julie,Belize,-2.041663352
42:36.6,Hartburgh,Jersey,1.0168861379961776
52:19.9,Port Kevin,Dominica,-0.18463349
02:03.1,Hortonhaven,New Caledonia,-0.575177005
11:46.4,Leslieberg,Algeria,-0.92828046
21:29.6,West Nancyburgh,San Marino,-1.629519934
31:12.9,Lake James,Saint Kitts and Nevis,0.43660227228323295
40:56.2,North Daniel,Trinidad and Tobago,1.3952753431001286
50:39.4,Lisabury,Uzbekistan,1.2890461636460528
00:22.7,Lake Jacquelineton,Korea,1.1175220956373848
10:05.9,New Miguel,Zimbabwe,-0.640382453
19:49.2,South Jamie,Burkina Faso,2.992738262357386
29:32.5,East Toni,Norway,0.14774324858813825
39:15.7,Port Jessica,Saint Helena,0.9771697440519952
48:59.0,West Pattyville,Guyana,0.5097130166183428
58:42.2,North Brian,Slovakia (Slovak Republic),0.6775107026224936
08:25.5,Lake Stephaniebury,Cape Verde,-1.460018412
18:08.7,North Angelicaport,North Macedonia,2.0337526837343725
27:52.0,Randallfurt,Seychelles,-0.970312112
37:35.3,Sonyachester,Norway,0.924342065
47:18.5,Port Jesus,India,0.012392242028285488
57:01.8,North Codyhaven,Uganda,-0.43326738
06:45.0,Francishaven,Turkmenistan,-1.040749401
16:28.3,Lake Eric,Indonesia,-1.819730383
26:11.6,Lake Jon,Russian Federation,-1.983452464
35:54.8,Lake Donaldland,Slovenia,0.094421737
45:38.1,Johnsonton,Argentina,-1.369808237
55:21.3,New Kathleen,Sao Tome and Principe,-0.236732305
05:04.6,Lake Kimberly,Philippines,-1.263380468
14:47.8,Joelfurt,Singapore,-1.372503936
24:31.1,Austinton,Niue,-0.513134284
34:14.4,Lake Susanfort,Bulgaria,-0.296623942
43:57.6,Lake Travisbury,Sweden,0.7992540580045184
53:40.9,North Jennifer,Spain,0.3223100222652557
03:24.1,South Eric,Cook Islands,1.3910255535326383
13:07.4,South Charles,Norfolk Island,2.381042435609751
22:50.7,Lake Thomasfort,Moldova,-2.441752483
32:33.9,Port Raymond,Reunion,1.2707074801900462
42:17.2,West Victoriafurt,Niger,-1.004592708
52:00.4,Kaylaberg,Afghanistan,0.2608817129317551
01:43.7,New Dianeberg,Qatar,0.8006259284250585
11:26.9,Villarrealstad,Burkina Faso,-1.021770967
21:10.2,Amandafort,Serbia,0.099512081
30:53.5,South Sarahfort,Turkmenistan,-0.756935385
40:36.7,New Michele,Sri Lanka,-0.558262708
50:20.0,East Jasonside,Panama,-0.290793155
00:03.2,Kellertown,United Kingdom,-1.414397065
09:46.5,East Nicholas,Bhutan,0.081511408
19:29.8,Port Brookeburgh,Honduras,-1.154441888
29:13.0,South Lisaside,Djibouti,-1.407156974
38:56.3,Sarahberg,Timor-Leste,-0.397679096
48:39.5,West Morgan,Guam,-1.052292731
58:22.8,Williamsmouth,Nauru,-0.604610957
08:06.0,Lake Stephanie,Brunei Darussalam,-1.501332849
17:49.3,New Andrew,United States Minor Outlying Islands,-0.237226233
27:32.6,Port Rachelborough,Turkmenistan,-0.008328021
37:15.8,Port Scott,Iraq,2.421562472
46:59.1,Thompsonshire,Taiwan,0.33700730631556336
56:42.3,Stevenfort,Finland,-0.357456275
06:25.6,South Eileen,Moldova,-1.383702783
16:08.9,Lake Eric,Swaziland,-0.436316874
25:52.1,North Nicolechester,Uzbekistan,-1.04558001
35:35.4,South Ronaldborough,Italy,1.0559476227329874
45:18.6,Jennaview,Lebanon,0.2529541394268612
55:01.9,Port Andrewhaven,Botswana,1.155520840841114
04:45.1,Bryanview,Swaziland,-0.180950225
14:28.4,East Larry,Turks and Caicos Islands,-1.486043704
24:11.7,Nancychester,Hungary,-0.556126773
33:54.9,Port Michael,Cocos (Keeling) Islands,-0.94105614
43:38.2,Powellshire,Slovenia,-0.286117549
53:21.4,New Scottchester,Korea,-0.281736106
03:04.7,Andreamouth,Solomon Islands,-0.031888962
12:48.0,East Meghan,Niue,2.0509561447714706
22:31.2,Lake Jameschester,Myanmar,0.6929114995428585
32:14.5,Port Patrick,Guinea,1.9709993857809724
41:57.7,New Monicamouth,Ecuador,0.8633314727762611
51:41.0,Costastad,Bangladesh,-0.021391106
01:24.2,Lake Colin,Saint Pierre and Miquelon,-0.167984402
11:07.5,New Jessicashire,Denmark,-0.544840419
20:50.8,Loriport,Congo,-1.37193566
30:34.0,Johnsview,Azerbaijan,0.20679139704136482
40:17.3,Jessicatown,South Africa,1.5863079068640211
50:00.5,East Natalie,Lithuania,0.7944283389389425
59:43.8,Justintown,Kuwait,0.814802069
09:27.1,Cuevasfort,Algeria,-0.988802793
19:10.3,North Angelabury,Guinea,-1.254783651
28:53.6,Riverahaven,Togo,-0.147643167
38:36.8,Kristinafort,Equatorial Guinea,0.18130629513983554
48:20.1,South Alanport,Greece,0.37257258198678456
58:03.3,Jimenezport,Spain,-0.830228325
07:46.6,Martinezfurt,Kuwait,0.5142261860031161
17:29.9,East Keith,Northern Mariana Islands,0.082193297
27:13.1,Lake Dylan,Cape Verde,-0.638642446
36:56.4,South Helenberg,Saint Kitts and Nevis,0.34949871849910374
46:39.6,Heiditown,Honduras,0.5725321299422577
56:22.9,Justinview,Kenya,1.1947867225694928
06:06.2,West Matthew,Bolivia,-0.27884526
15:49.4,Johnshire,Philippines,-0.221414319
25:32.7,East Crystalmouth,United Kingdom,-1.043736171
35:15.9,Tuckershire,Benin,2.088867891739067
44:59.2,Jerryview,Puerto Rico,1.0081128802598986
54:42.4,Heatherville,Cambodia,0.956670088
04:25.7,East Robert,Senegal,-0.547792118
14:09.0,Bobbyborough,Mozambique,0.4468952570779975
23:52.2,Reneeland,Madagascar,-0.315516705
33:35.5,Abigailfurt,Jersey,-1.213053975
43:18.7,Lake Michael,Congo,-0.696530384
53:02.0,Jonesshire,Micronesia,0.1332585346981145
02:45.3,Shelleychester,French Southern Territories,0.26488092127856694
12:28.5,New Nicholasfurt,Nicaragua,0.9062936247582329
22:11.8,Sanchezton,Cape Verde,1.7683873281869575
31:55.0,Robertmouth,Liechtenstein,1.0513847351986425
41:38.3,Karinachester,Botswana,0.3442642150992105
51:21.5,Kennethburgh,Cape Verde,1.0783431853186412
01:04.8,New Desiree,Comoros,0.004272501
10:48.1,Jonesview,Iraq,0.4580588467627812
20:31.3,East Tiffany,Guatemala,0.44825227675904966
30:14.6,Brownborough,Qatar,0.6942495719367234
39:57.8,Steventown,Andorra,0.6982610988447953
49:41.1,West Stanleyfurt,Cayman Islands,0.7716568365912506
59:24.4,North Teresachester,Pitcairn Islands,0.3703816158976373
09:07.6,New Robertborough,Ghana,-0.682333646
18:50.9,East Jessica,Martinique,-0.642638814
28:34.1,West Robertshire,Liechtenstein,2.386766986007383
38:17.4,Nathanville,Mayotte,0.9160775049619293
48:00.6,North Kelseyberg,Burkina Faso,-1.322564774
57:43.9,South Robertmouth,Uruguay,-0.557617908
07:27.2,New Sarastad,Austria,0.2512332722949836
17:10.4,West Brandon,Samoa,0.7333023297824698
26:53.7,Johnsonbury,Niger,-0.767644388
36:36.9,Port Kevinberg,Comoros,0.647507545
46:20.2,West Richard,Uzbekistan,-0.18522583
56:03.5,West Rachel,Colombia,-1.4805539
05:46.7,East Megan,Libyan Arab Jamahiriya,-1.042390096
15:30.0,East Marystad,Kuwait,-0.097303093
25:13.2,Jacobhaven,South Georgia and the South Sandwich Islands,0.5725028618902833
34:56.5,New Meganport,Korea,-0.186333277
44:39.7,Brandychester,Uruguay,1.1293871934282143
54:23.0,Schultzport,Bhutan,-0.711337866
04:06.3,West Michelle,Peru,-0.388994435
13:49.5,Walkerchester,South Georgia and the South Sandwich Islands,0.2391070861118235
23:32.8,Diazmouth,Serbia,-0.771411576
33:16.0,Sophiamouth,Swaziland,0.4914306833321234
42:59.3,Gardnerland,Malta,-0.21519339
52:42.6,Valdezborough,Tajikistan,-0.173251206
02:25.8,Lake Rachel,Anguilla,2.171992258585916
12:09.1,West Robert,New Zealand,0.6987208396337808
21:52.3,West Mark,Iran,0.082083546
31:35.6,Vaughnbury,Bosnia and Herzegovina,1.8811657481574289
41:18.8,East Kerriside,Tokelau,0.41068541995059865
51:02.1,South Kelly,Zimbabwe,1.0733104640737525
00:45.4,North Kylefort,American Samoa,0.2728681963329515
10:28.6,Taylorhaven,Saint Vincent and the Grenadines,1.129941515792591
20:11.9,Adrianport,Slovenia,-2.097867019
29:55.1,Jayville,Cook Islands,-1.356148205
39:38.4,Harperport,Solomon Islands,0.033187286
49:21.7,East Hannahland,Tuvalu,-0.722602913
59:04.9,Andersonside,Lebanon,-0.049016495
08:48.2,Silvaland,Saint Barthelemy,1.4751916464954857
18:31.4,New Nicholaschester,Solomon Islands,0.9438502694587585
28:14.7,New Morgan,Cayman Islands,0.001681468
37:57.9,Lake Willieton,Eritrea,-0.681992423
47:41.2,North Codyfort,Philippines,1.159607701455139
57:24.5,Lake Aaronside,Moldova,-0.141094234
07:07.7,Jayville,Togo,1.5335533540801256
16:51.0,Danielleside,Kuwait,0.6895007420706547
26:34.2,Townsendstad,United Arab Emirates,-0.217832778
36:17.5,Montgomeryhaven,Albania,0.050444464982813915
46:00.8,South Amanda,Mali,-0.65641077
55:44.0,West Jordan,Montserrat,1.1500174526154043
05:27.3,Baldwinstad,Egypt,-0.122465972
15:10.5,North Ashleyburgh,Namibia,-0.071061481
24:53.8,Holtchester,France,-0.724616267
34:37.0,South Aliciaton,Trinidad and Tobago,0.30746364349326677
44:20.3,Aguilarside,Spain,0.686137157
54:03.6,North Staceystad,China,1.6928795884059527
03:46.8,Torresfort,Uzbekistan,0.44873919124737705
13:30.1,Lake Shirley,Ecuador,1.2368153271932356
23:13.3,New Megan,Ecuador,1.852015910011236
32:56.6,Katieview,Norway,0.3254322229746139
42:39.9,North Virginiafort,Burkina Faso,1.0698564275887326
52:23.1,Aaronton,French Southern Territories,-1.941694412
02:06.4,Alyssaside,Slovenia,0.010506959255499899
11:49.6,West Whitneyberg,Eritrea,-0.194827887
21:32.9,Romeroshire,Georgia,2.2811116945868917
31:16.1,Port Lauren,Brunei Darussalam,-0.196531575
40:59.4,Englishborough,Panama,1.8905347768795862
50:42.7,Jeffreymouth,Honduras,-0.620555657
00:25.9,Duffyburgh,Mauritius,0.7538627537553445
10:09.2,East James,Kiribati,0.26718714884870715
19:52.4,East Sandyside,Cote d'Ivoire,-2.662880431
