Area Code,Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
5000,World,7001,January,7271,Temperature change,°C,0.399,0.104,-0.171,-0.311,0.206,0.458,-0.289,-0.393,-0.859,0.078,-0.05,-0.994,0.23,-0.495,0.368,0.129,-0.545,0.116,0.377,0.089,1.082,0.102,0.672,0.19,0.233,0.891,0.529,0.895,0.217,0.964,0.563,0.94,0.713,0.511,1.217,0.258,0.554,0.788,1.009,0.478,0.807,1.398,1.39,1.001,1.174,0.722,2.087,0.321,1.086,1.092,0.7,0.654,1.131,1.174,1.529,1.813,1.758,1.349,1.697
5000,World,7002,February,7271,Temperature change,°C,0.263,0.218,0.563,-0.409,-0.45,0.756,-0.557,-0.412,-0.658,0.612,-0.039,-1.306,0.965,-0.427,0.101,-0.447,0.782,0.166,-0.119,0.216,0.961,-0.213,0.632,-0.25,-0.577,0.164,1.206,0.421,0.201,0.76,0.63,0.783,0.718,-0.264,1.685,0.802,0.782,1.739,1.73,1.249,0.605,1.833,0.914,1.381,0.826,1.368,1.215,0.654,1.115,1.287,0.56,0.491,1.305,0.555,1.657,2.624,1.944,1.315,1.341
5000,World,7003,March,7271,Temperature change,°C,0.254,0.279,-0.237,-0.287,-0.272,0.391,-0.117,0.423,-0.018,-0.043,-0.006,-0.172,0.712,0.018,0.21,-0.865,0.965,0.369,0.434,0,1.126,0.005,0.392,0.294,-0.002,0.263,-0.069,0.673,0.504,1.312,0.649,0.71,0.795,0.712,0.839,0.279,0.813,0.959,0.369,1.156,1.195,1.602,0.813,1.31,1.315,1.192,1.261,1.818,0.988,1.574,1.007,0.892,1.109,1.429,1.719,2.568,2.014,1.652,2.138
5000,World,7004,April,7271,Temperature change,°C,0.278,0.027,0.002,-0.167,-0.574,-0.018,-0.174,-0.137,0.047,0.357,-0.187,-0.125,0.447,-0.167,0.247,-0.032,0.442,0.174,0.086,0.575,0.385,0.096,0.454,0.351,0.238,0.512,0.291,0.721,0.596,0.581,0.617,0.258,0.383,0.613,0.703,0.097,0.619,1.325,0.818,1.387,0.981,0.803,0.867,0.888,1.414,0.776,1.497,0.834,1.106,1.534,1.243,1.552,0.901,1.459,1.225,2.046,1.468,1.367,1.707
5000,World,7005,May,7271,Temperature change,°C,0.367,-0.183,-0.029,-0.097,-0.141,-0.069,0.238,-0.333,0.228,0.16,-0.015,-0.048,0.299,-0.107,0.266,-0.196,0.239,0.016,0.059,0.434,0.254,0.159,0.535,0.392,0.535,0.504,0.372,0.545,0.235,0.391,0.148,0.278,0.414,0.689,0.565,0.599,0.458,1.014,0.619,0.754,1.026,0.77,1.033,0.466,1.07,0.722,1.094,0.82,0.801,1.271,0.856,1.397,1.185,1.227,1.389,1.382,1.29,1.286,1.281
5000,World,7006,June,7271,Temperature change,°C,0.313,-0.208,-0.12,-0.089,-0.036,0.279,-0.354,-0.217,0.023,0.18,-0.206,0.169,0.403,-0.105,0.24,-0.354,0.358,-0.242,0.18,0.28,0.17,-0.137,0.125,0.039,0.091,0.275,0.351,0.621,0.237,0.571,0.56,0.124,0.336,0.642,0.789,0.371,0.675,1.044,0.676,0.619,0.691,0.786,0.753,0.563,1.095,1.118,0.782,0.804,0.828,1.227,1.046,1.313,1.18,1.06,1.362,1.335,1.235,1.107,1.515
5000,World,7007,July,7271,Temperature change,°C,0.007,-0.035,0.208,-0.235,-0.29,0.27,-0.214,-0.195,-0.065,0.055,0.003,0.101,0.34,-0.166,0.237,-0.191,0.171,-0.004,0.06,0.316,0.216,0.13,0.484,0.117,-0.063,0.122,0.552,0.57,0.328,0.214,0.423,-0.281,0.311,0.348,0.538,0.446,0.551,1.196,0.689,0.538,0.832,1.04,0.798,0.482,0.983,0.984,0.826,0.891,0.741,1.235,1.06,1.083,0.882,0.863,1.123,1.294,1.259,1.311,1.207
5000,World,7008,August,7271,Temperature change,°C,-0.001,-0.007,0.159,-0.362,-0.247,0.159,-0.028,-0.215,0.042,0.11,-0.067,-0.001,0.179,-0.239,0.062,-0.193,0.103,-0.257,0.29,0.165,0.245,0.103,0.496,0.2,0.262,0.244,0.216,0.369,0.369,0.416,0.405,-0.078,0.22,0.351,0.854,0.345,0.659,1.12,0.573,0.681,0.986,0.86,0.941,0.519,0.878,0.963,0.929,0.811,0.959,1.108,1.033,1.043,0.856,1.069,1.262,1.45,1.301,1.066,1.201
5000,World,7009,September,7271,Temperature change,°C,-0.063,-0.023,0.374,-0.256,-0.146,-0.076,-0.016,0.019,-0.076,-0.126,0.008,-0.149,-0.051,-0.326,0.3,-0.146,0.17,0.013,0.267,0.075,0.23,0.224,0.462,-0.103,-0.061,0.094,0.515,0.411,0.284,0.386,0.426,-0.294,-0.031,0.467,0.647,0.081,0.762,0.875,0.681,0.471,0.697,0.827,0.887,0.671,1.134,0.91,1.007,0.701,1.204,0.94,1.023,1.14,0.883,0.903,1.324,1.408,1.322,1.176,1.415
5000,World,7010,October,7271,Temperature change,°C,-0.123,0.25,0.653,-0.46,-0.056,0.039,0.332,-0.007,0.047,-0.144,-0.115,-0.04,0.159,-0.174,-0.193,-0.687,0.123,-0.039,0.523,0.22,0.143,0.069,0.169,0.266,0.004,-0.045,0.048,0.264,0.412,0.514,0.366,-0.15,0.266,0.723,0.835,0.167,0.806,0.813,0.636,0.277,0.651,0.596,1.218,0.88,1.298,1.205,1.153,1.289,0.9,1.198,1.186,1.144,1.032,1.065,1.546,0.998,1.206,1.383,1.545
